GatewayName,Timestamp,UUID,Major,Minor,RSSI
MyBeaconGateway,2025-12-10 01:53:14.768,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-77
MyBeaconGateway,2025-12-10 01:53:15.076,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-84
MyBeaconGateway,2025-12-10 01:53:15.077,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-84
MyBeaconGateway,2025-12-10 01:53:15.718,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-85
MyBeaconGateway,2025-12-10 01:53:16.712,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,10001,19641,-76
MyBeaconGateway,2025-12-10 01:53:16.721,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,10001,19641,-76
MyBeaconGateway,2025-12-10 01:53:17.360,00001803-494C-4F47-4943-544543480000,1,2,-51
MyBeaconGateway,2025-12-10 01:53:17.361,00001803-494C-4F47-4943-544543480000,1,2,-51
MyBeaconGateway,2025-12-10 01:53:18.728,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,10001,19641,-80
MyBeaconGateway,2025-12-10 01:53:18.729,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,10001,19641,-80
MyBeaconGateway,2025-12-10 01:53:20.678,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-76
MyBeaconGateway,2025-12-10 01:53:22.660,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-84
MyBeaconGateway,2025-12-10 01:53:22.762,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,10001,19641,-72
MyBeaconGateway,2025-12-10 01:53:22.990,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-76
MyBeaconGateway,2025-12-10 01:53:26.410,00001803-494C-4F47-4943-544543480000,1,2,-50
MyBeaconGateway,2025-12-10 01:53:28.103,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-79
MyBeaconGateway,2025-12-10 01:53:29.412,00001803-494C-4F47-4943-544543480000,1,2,-49
MyBeaconGateway,2025-12-10 01:53:29.678,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-78
MyBeaconGateway,2025-12-10 01:53:32.386,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-86
MyBeaconGateway,2025-12-10 01:53:34.081,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-82
MyBeaconGateway,2025-12-10 01:53:34.084,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-91
MyBeaconGateway,2025-12-10 01:53:34.700,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-79
MyBeaconGateway,2025-12-10 01:53:34.800,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-79
MyBeaconGateway,2025-12-10 01:53:35.087,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-91
MyBeaconGateway,2025-12-10 01:53:36.693,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-77
MyBeaconGateway,2025-12-10 01:53:37.095,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-90
MyBeaconGateway,2025-12-10 01:53:37.400,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,10001,19641,-79
MyBeaconGateway,2025-12-10 01:53:37.433,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-83
MyBeaconGateway,2025-12-10 01:53:38.105,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-90
MyBeaconGateway,2025-12-10 01:53:40.692,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-78
MyBeaconGateway,2025-12-10 01:53:41.111,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-81
MyBeaconGateway,2025-12-10 01:53:41.747,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-80
MyBeaconGateway,2025-12-10 01:53:42.119,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-89
MyBeaconGateway,2025-12-10 01:53:43.120,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-85
MyBeaconGateway,2025-12-10 01:53:43.421,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-85
MyBeaconGateway,2025-12-10 01:53:43.721,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-80
MyBeaconGateway,2025-12-10 01:53:44.492,00001803-494C-4F47-4943-544543480000,1,2,-53
MyBeaconGateway,2025-12-10 01:53:44.493,00001803-494C-4F47-4943-544543480000,1,2,-52
MyBeaconGateway,2025-12-10 01:53:44.772,2686F39C-BADA-4658-854A-A62E7E5E8B8D,1,0,-82
MyBeaconGateway,2025-12-10 01:53:45.135,FDA50693-A4E2-4FB1-AFCF-C6EB07647825,1,2,-91
